epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,10.7436,1.4964,0.25,1,1.4082,1.25e-05,1.25e-05,1.25e-05
2,17.1047,1.45349,0.25,1,1.42773,3.67575e-05,3.67575e-05,3.67575e-05
3,24.7699,1.41061,0.25,1,1.43555,6.0025e-05,6.0025e-05,6.0025e-05
4,31.504,1.36768,0.25,1,1.43848,8.23025e-05,8.23025e-05,8.23025e-05
5,37.652,1.41986,0.3,1,1.42383,0.00010359,0.00010359,0.00010359
6,43.6262,1.32806,0.4,1,1.3916,0.000123888,0.000123888,0.000123888
7,48.3375,1.32864,0.3,1,1.34863,0.000143195,0.000143195,0.000143195
8,54.7892,1.3526,0.25,1,1.30664,0.000161513,0.000161513,0.000161513
9,59.8524,1.27835,0.3,1,1.28223,0.00017884,0.00017884,0.00017884
10,64.6288,1.28217,0.3,1,1.25684,0.000195178,0.000195178,0.000195178
11,71.2369,1.2538,0.35,1,1.23047,0.000210525,0.000210525,0.000210525
12,75.862,1.26239,0.5,1,1.19531,0.000224883,0.000224883,0.000224883
13,81.9984,1.24503,0.6,1,1.1709,0.00023825,0.00023825,0.00023825
14,87.0544,1.12195,0.6,1,1.1377,0.000250627,0.000250627,0.000250627
15,92.0133,1.14896,0.7,1,1.09863,0.000262015,0.000262015,0.000262015
16,98.2805,1.2224,0.85,1,1.05762,0.000272412,0.000272412,0.000272412
17,103.338,1.22073,0.85,1,1.00391,0.00028182,0.00028182,0.00028182
18,109.312,0.98076,0.85,1,0.95557,0.000290237,0.000290237,0.000290237
19,114.528,0.94684,0.9,1,0.93799,0.000297665,0.000297665,0.000297665
20,119.464,1.13141,0.9,1,0.88135,0.000304103,0.000304103,0.000304103
21,126.139,1.09851,0.9,1,0.83203,0.00030955,0.00030955,0.00030955
22,130.903,0.99759,0.95,1,0.76904,0.000314008,0.000314008,0.000314008
23,136.384,1.03699,1,1,0.7124,0.000317475,0.000317475,0.000317475
24,142.197,0.81665,1,1,0.6543,0.000319953,0.000319953,0.000319953
25,147.189,0.71225,1,1,0.59814,0.00032144,0.00032144,0.00032144
26,153.676,0.95908,1,1,0.55029,0.000321938,0.000321938,0.000321938
27,158.643,0.77338,1,1,0.49561,0.000321445,0.000321445,0.000321445
28,163.716,0.65833,1,1,0.49561,0.000319962,0.000319962,0.000319962
29,170.116,0.7322,1,1,0.448,0.00031749,0.00031749,0.00031749
30,174.794,0.80395,1,1,0.43896,0.000314028,0.000314028,0.000314028
31,181.483,0.73569,1,1,0.43896,0.000309575,0.000309575,0.000309575
32,186.053,0.60553,1,1,0.39722,0.000304132,0.000304132,0.000304132
33,191.132,0.69963,1,1,0.3667,0.0002977,0.0002977,0.0002977
34,197.375,0.54445,1,1,0.3667,0.000290277,0.000290277,0.000290277
35,202.482,0.49531,1,1,0.31592,0.000281865,0.000281865,0.000281865
36,208.708,0.49178,1,1,0.26855,0.000272463,0.000272463,0.000272463
37,213.818,0.76838,1,1,0.26855,0.00026207,0.00026207,0.00026207
38,218.998,0.45788,1,1,0.2384,0.000250687,0.000250687,0.000250687
39,225.16,0.45827,1,1,0.2019,0.000238315,0.000238315,0.000238315
40,229.903,0.6789,1,1,0.2019,0.000224952,0.000224952,0.000224952
41,238.403,0.90551,1,1,0.16418,0.0002106,0.0002106,0.0002106
42,242.67,0.43918,1,1,0.13916,0.000195258,0.000195258,0.000195258
43,248.366,0.64774,1,1,0.13916,0.000178925,0.000178925,0.000178925
44,253.594,0.63257,1,1,0.11957,0.000161603,0.000161603,0.000161603
45,258.158,0.46781,1,1,0.11957,0.00014329,0.00014329,0.00014329
46,264.087,0.71298,1,1,0.09363,0.000123987,0.000123987,0.000123987
47,269.075,0.65666,1,1,0.09363,0.000103695,0.000103695,0.000103695
48,273.697,0.55279,1,1,0.09265,8.24125e-05,8.24125e-05,8.24125e-05
49,279.875,0.44068,1,1,0.09265,6.014e-05,6.014e-05,6.014e-05
50,284.485,0.51378,1,1,0.09241,3.68775e-05,3.68775e-05,3.68775e-05
